Method,Mean,Std,Min,Max,50%,95%,99%,99.9%
Empirical,1922.0197506944,218.31327575973194,1387.649786,3195.8617679999998,1897.2771015000003,2315.2525604,2524.96352865,2770.613688290001
Composite (95%),1923.7520020341042,378.1044693226152,1274.4750781696093,27625.67878619312,1884.6307659402532,2332.9731767038725,2743.067808358722,4023.5664386414596
Composite (99%),1962.1663424359583,435.0589579566899,1374.6711794808766,15294.714151139393,1884.5383938777863,2527.180063557968,3357.565737703812,5775.99272833413
