,mean,actual_mean,mean_error,mean_rel_error,std,actual_std,std_error,std_rel_error,skewness,actual_skewness,kurtosis,actual_kurtosis,q50,actual_q50,q50_rel_error,q75,actual_q75,q75_rel_error,q90,actual_q90,q90_rel_error,q95,actual_q95,q95_rel_error,q99,actual_q99,q99_rel_error,q99.5,actual_q99.5,q99.5_rel_error,q99.9,actual_q99.9,q99.9_rel_error,tail_mean,actual_tail_mean,tail_std,actual_tail_std,kl_full,kl_tail,ks_stat,ks_pvalue,anderson_stat,anderson_critical_values,wasserstein,time
empirical,3772.7549008739,3549.9166750550003,222.8382258188999,0.06277280460827926,303.96658485576484,251.81976579709854,52.146819058666296,0.20707992835114902,0.6354191763107492,0.4057481844232512,0.4154845674576073,0.2123293013518297,3735.468728,3529.10761,0.05847402255892101,3960.08983975,3706.76289,0.06834182742937735,4183.1367427000005,3884.1792771999994,0.07696798838685723,4329.382558200001,3994.031042,0.08396317221212042,4588.00393968,4190.85592755,0.09476536989000603,4712.278355444997,4277.082567379997,0.10175061650296516,4913.745237477002,4441.3739644550005,0.10635701402369208,4499.237749081999,4124.477789528,156.35935294499876,118.23102992901512,0.37271882250664184,15.9654047859599,0.2934,1e-323,1757.2322277153455,1.9609999999999999,222.83822581889999,0.15924382209777832
theoretical,3874.935493424982,3549.9166750550003,325.01881836998155,0.09155674572698129,940.9217429619268,251.81976579709854,689.1019771648283,2.7364888335257445,22.84896361288941,0.4057481844232512,865.2862184864687,0.2123293013518297,3744.2624488179968,3529.10761,0.060965791524276225,3989.9992644021704,3706.76289,0.07641070734960619,4326.3739897458545,3884.1792771999994,0.11384508308911563,4661.239180054269,3994.031042,0.16705131508446325,6087.817403920388,4190.85592755,0.4526429705922539,7479.467522575795,4277.082567379997,0.7487311513739318,15022.362165258346,4441.3739644550005,2.3823682233211216,5973.923187036302,4124.477789528,3369.5483738782777,118.23102992901512,0.01733070578389919,0.14615853130930062,0.2989,1e-323,1909.6841707430674,1.9609999999999999,325.01881836998155,0.42876219749450684
hybrid_97.0,3668.165898473776,3549.9166750550003,118.24922341877573,0.03331042225574031,232.19923938282966,251.81976579709854,-19.62052641426888,-0.07791495775624674,0.8026664986813071,0.4057481844232512,2.2826709363955064,0.2123293013518297,3645.6053278077807,3529.10761,0.033010531466276444,3802.155208177356,3706.76289,0.025734669577787906,3966.027398488314,3884.1792771999994,0.021072179074936127,4073.4319210559183,3994.031042,0.01987988531410074,4306.913980856726,4190.85592755,0.027693162283098136,4439.935562666776,4277.082567379997,0.03807571930661533,4794.258449449617,4441.3739644550005,0.07945390048638218,4235.176598197093,4124.477789528,187.1811850660558,118.23102992901512,0.2458758770327132,0.2543478568069619,0.2198,5.919636389850141e-212,826.7260167738541,1.9609999999999999,118.24922341877567,28.99116277694702
hybrid_97.5,3775.826480065287,3549.9166750550003,225.90980501028662,0.06363805849239729,1107.2800586138346,251.81976579709854,855.4602928167361,3.3971133684002206,33.195683269893934,0.4057481844232512,1526.8562074999825,0.2123293013518297,3657.0431000643184,3529.10761,0.036251512904226346,3864.06926524935,3706.76289,0.04243766863905069,4134.2327633395635,3884.1792771999994,0.06437743170284892,4416.5101816234,3994.031042,0.10577763046424514,5731.322991634226,4190.85592755,0.36757814888301166,6778.641337127839,4277.082567379997,0.584875024117249,16516.413776373793,4441.3739644550005,2.7187622363163277,5746.264686508929,4124.477789528,4388.240033075391,118.23102992901512,0.005997207177655702,0.07901312298460134,0.2083,3.0776823095134117e-190,949.3807846097465,1.9609999999999999,225.90980501028565,29.101029872894287
